,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NVDA260220C00050000,2026-01-15 20:41:50+00:00,50.0,137.35,135.15,138.05,0.0,0.0,25,204,2.0175830810546875,True,REGULAR,USD
1,NVDA260220C00055000,2026-01-16 17:01:07+00:00,55.0,133.08,130.5,132.25,-1.6699982,-1.2393306,40,84,1.65234548828125,True,REGULAR,USD
2,NVDA260220C00060000,2026-01-16 20:10:14+00:00,60.0,128.08,125.9,127.45,5.4800034,4.4698234,38,26,1.7998056884765623,True,REGULAR,USD
3,NVDA260220C00065000,2026-01-16 19:24:13+00:00,65.0,122.86,120.9,122.4,0.3600006,0.29387805,12,80,1.6650407373046878,True,REGULAR,USD
4,NVDA260220C00070000,2026-01-13 16:42:57+00:00,70.0,116.83,115.25,118.1,0.0,0.0,33,107,1.5693380908203123,True,REGULAR,USD
5,NVDA260220C00075000,2026-01-15 17:06:30+00:00,75.0,114.24,110.25,113.15,0.0,0.0,7,82,1.4794947900390625,True,REGULAR,USD
6,NVDA260220C00080000,2026-01-14 20:44:35+00:00,80.0,102.93,105.3,108.15,0.0,0.0,5,215,1.3950225561523437,True,REGULAR,USD
7,NVDA260220C00085000,2026-01-14 15:15:39+00:00,85.0,97.46,100.3,103.2,0.0,0.0,20,488,1.3144565527343748,True,REGULAR,USD
8,NVDA260220C00090000,2026-01-16 20:35:41+00:00,90.0,98.0,95.7,97.4,0.26999664,0.27626792,2426,427,1.1367230664062502,True,REGULAR,USD
9,NVDA260220C00095000,2026-01-15 18:41:25+00:00,95.0,94.96,90.4,93.25,0.0,0.0,6,110,1.1728556982421874,True,REGULAR,USD
10,NVDA260220C00100000,2026-01-16 18:40:16+00:00,100.0,88.4,86.1,87.6,0.11000061,0.124590114,30,353,1.1010787133789064,True,REGULAR,USD
11,NVDA260220C00105000,2026-01-16 20:56:47+00:00,105.0,81.83,81.0,82.5,-1.2399979,-1.4927144,36,348,0.993164130859375,True,REGULAR,USD
12,NVDA260220C00110000,2026-01-16 14:41:54+00:00,110.0,78.45,76.05,77.5,1.0599976,1.3696829,91,845,0.9301764794921875,True,REGULAR,USD
